Date,Task,Estimated Time (hours)
2023-11-07,weightlifting,1.4
2023-11-07,Study History,2.6
2023-11-08,Housework,3.4
2023-11-08,Study Blender,1.8
2023-11-08,Webpage Design,3.2
2023-11-08,Yoga,3.3
2023-11-08,Reading,1.2
2023-11-09,Study Blender,0.7
2023-11-09,Study Programming,1.6
2023-11-09,Housework,2.7
2023-11-09,weightlifting,0.7
2023-11-09,Study History,3.7
2023-11-09,Yoga,2.3
2023-11-10,Study History,2.6
2023-11-10,Study Programming,1.7
2023-11-10,Yoga,0.7
2023-11-10,weightlifting,0.5
2023-11-10,Reading,3.7
2023-11-11,Housework,1.3
2023-11-11,Study Blender,1.9
2023-11-12,Study History,0.5
2023-11-12,Webpage Design,3.3
2023-11-12,weightlifting,0.5
2023-11-12,Housework,2.7
2023-11-13,Study Blender,1.2
2023-11-13,Study Programming,3.1
2023-11-14,Webpage Design,3.3
2023-11-14,Housework,0.8
2023-11-14,weightlifting,3.3
2023-11-15,Study Blender,1.6
2023-11-15,Reading,3.2
2023-11-15,weightlifting,2.5
2023-11-16,Study Blender,3.6
2023-11-16,Yoga,3.0
2023-11-16,Study History,3.1
2023-11-16,weightlifting,3.1
2023-11-16,Study Programming,3.9
2023-11-16,Webpage Design,1.5
2023-11-17,weightlifting,1.9
2023-11-17,Webpage Design,0.8
2023-11-17,Study Blender,1.3
2023-11-17,Housework,0.7
2023-11-17,Study History,2.2
2023-11-18,Housework,1.7
2023-11-18,Study Programming,3.5
2023-11-18,Webpage Design,1.6
2023-11-18,Yoga,0.9
2023-11-18,weightlifting,1.0
2023-11-19,Study Blender,1.0
2023-11-19,Reading,3.5
2023-11-20,Housework,1.7
2023-11-20,Reading,1.6
2023-11-20,Study History,2.9
2023-11-21,Study Blender,3.8
2023-11-21,Webpage Design,2.8
2023-11-21,Housework,1.4
2023-11-21,Reading,3.2
2023-11-22,Study Programming,1.8
2023-11-22,Study History,3.0
2023-11-22,Study Blender,3.4
2023-11-23,Reading,2.6
2023-11-23,Study Programming,2.8
2023-11-23,weightlifting,3.0
2023-11-23,Study History,1.4
2023-11-23,Yoga,2.5
2023-11-23,Webpage Design,2.3
2023-11-24,Study Programming,2.8
2023-11-24,weightlifting,0.7
2023-11-25,Study Programming,1.6
2023-11-25,Yoga,3.1
2023-11-26,Study Programming,3.7
2023-11-26,Webpage Design,1.2
2023-11-26,Housework,3.6
2023-11-26,Study Blender,1.4
2023-11-26,Yoga,1.6
2023-11-26,weightlifting,3.5
2023-11-27,Yoga,1.4
2023-11-27,Study Programming,2.0
2023-11-27,Study History,3.2
2023-11-27,Webpage Design,2.9
2023-11-28,weightlifting,2.4
2023-11-28,Study Blender,0.6
2023-11-28,Reading,0.7
2023-11-28,Housework,1.2
2023-11-28,Study Programming,1.8
2023-11-29,Study History,2.8
2023-11-29,Reading,3.2
2023-11-29,Webpage Design,0.9
2023-11-29,Study Programming,2.5
2023-11-30,Study Blender,1.7
2023-11-30,Reading,0.8
2023-11-30,Yoga,3.4
2023-11-30,Study History,3.9
2023-11-30,Study Programming,2.9
2023-12-01,Study Programming,1.4
2023-12-01,Housework,1.8
2023-12-01,Webpage Design,1.8
2023-12-01,Yoga,3.7
2023-12-01,weightlifting,1.1
2023-12-02,Housework,3.5
2023-12-02,Webpage Design,1.2
2023-12-02,Study History,2.3
2023-12-02,weightlifting,2.1
2023-12-02,Reading,3.9
2023-12-02,Yoga,3.8
2023-12-03,Reading,2.4
2023-12-03,Webpage Design,1.7
2023-12-03,Study Blender,1.8
2023-12-03,weightlifting,2.8
2023-12-03,Study Programming,0.8
2023-12-04,Reading,0.9
2023-12-04,weightlifting,3.9
2023-12-04,Housework,1.2
2023-12-04,Webpage Design,1.1
2023-12-04,Yoga,2.2
2023-12-05,Housework,2.3
2023-12-05,Yoga,3.6
2023-12-05,Webpage Design,2.5
2023-12-05,Study Blender,2.5
2023-12-05,Reading,1.0
2023-12-06,Study History,3.6
2023-12-06,weightlifting,1.2
2023-12-06,Yoga,0.8
2023-12-06,Study Programming,3.4
2023-12-06,Webpage Design,1.4
2023-12-06,Reading,1.8
2023-12-07,Study Programming,2.9
2023-12-07,weightlifting,1.2
2023-12-08,Study Programming,2.6
2023-12-08,Housework,1.4
2023-12-08,weightlifting,2.2
2023-12-08,Webpage Design,2.3
2023-12-08,Study History,3.3
2023-12-09,Reading,1.8
2023-12-09,Study Blender,2.8
2023-12-09,Housework,1.8
2023-12-09,Yoga,3.1
2023-12-09,Study History,2.0
2023-12-10,Reading,3.5
2023-12-10,weightlifting,3.1
2023-12-10,Webpage Design,1.0
2023-12-11,Webpage Design,3.9
2023-12-11,Study Blender,1.8
2023-12-11,weightlifting,1.6
2023-12-12,Study History,0.7
2023-12-12,Webpage Design,3.7
2023-12-12,Study Programming,3.0
2023-12-12,Housework,2.4
2023-12-12,Reading,1.9
2023-12-13,Study Programming,1.5
2023-12-13,Housework,1.0
2023-12-13,Reading,3.4
2023-12-13,Study History,3.4
2023-12-13,weightlifting,1.2
2023-12-14,Study Programming,1.1
2023-12-14,Study History,1.4
2023-12-14,Webpage Design,2.2
2023-12-14,Reading,0.7
2023-12-15,Housework,3.4
2023-12-15,Yoga,2.6
2023-12-15,Study Programming,3.5
2023-12-15,Study Blender,0.7
2023-12-15,Reading,2.0
2023-12-16,Reading,0.7
2023-12-16,Webpage Design,0.7
2023-12-16,Study Blender,1.1
2023-12-17,Study History,1.4
2023-12-17,Yoga,3.0
2023-12-18,Housework,2.1
2023-12-18,Yoga,2.2
2023-12-18,Webpage Design,3.0
2023-12-19,Study History,2.5
2023-12-19,Reading,3.2
2023-12-20,Housework,1.3
2023-12-20,Yoga,1.1
2023-12-20,weightlifting,1.9
2023-12-20,Reading,1.5
2023-12-20,Webpage Design,0.5
2023-12-21,Webpage Design,3.0
2023-12-21,weightlifting,3.2
2023-12-21,Yoga,0.6
2023-12-21,Study Programming,3.8
2023-12-21,Study History,0.8
2023-12-21,Reading,2.7
2023-12-22,Webpage Design,1.9
2023-12-22,Study Blender,3.9
2023-12-22,Reading,3.0
2023-12-22,Study History,3.1
2023-12-22,Study Programming,3.2
2023-12-23,Study Programming,2.3
2023-12-23,Yoga,3.9
2023-12-23,Reading,1.4
2023-12-24,Study Blender,1.5
2023-12-24,Reading,1.9
2023-12-24,Webpage Design,1.6
2023-12-24,Housework,2.4
2023-12-24,weightlifting,0.7
2023-12-25,Webpage Design,2.7
2023-12-25,Housework,3.3
2023-12-25,Study Blender,1.6
2023-12-26,Webpage Design,2.3
2023-12-26,Study History,2.9
2023-12-26,weightlifting,1.3
2023-12-26,Study Programming,2.1
2023-12-26,Yoga,0.6
2023-12-26,Housework,0.6
2023-12-27,weightlifting,3.1
2023-12-27,Yoga,3.0
2023-12-27,Study History,0.6
2023-12-28,Study Blender,1.0
2023-12-28,Reading,2.8
2023-12-28,Study History,1.6
2023-12-28,Study Programming,1.9
2023-12-28,Webpage Design,1.7
2023-12-29,weightlifting,2.7
2023-12-29,Reading,2.2
2023-12-30,weightlifting,2.7
2023-12-30,Housework,3.0
2023-12-31,weightlifting,2.2
2023-12-31,Study History,3.1
2024-01-01,Study Programming,2.1
2024-01-01,Yoga,1.2
2024-01-01,Reading,3.8
2024-01-01,weightlifting,0.9
2024-01-01,Webpage Design,0.9
2024-01-02,Housework,0.8
2024-01-02,Study Blender,3.8
2024-01-02,Yoga,1.2
2024-01-02,Reading,3.0
2024-01-02,Study History,3.8
2024-01-03,Webpage Design,0.5
2024-01-03,Housework,0.8
2024-01-03,Reading,1.8
2024-01-03,Study History,3.3
2024-01-03,weightlifting,0.8
2024-01-04,Study History,3.6
2024-01-04,Housework,2.2
2024-01-04,Webpage Design,2.0
2024-01-04,Reading,2.6
2024-01-05,Study Blender,1.3
2024-01-05,Webpage Design,2.8
2024-01-05,Reading,2.5
2024-01-05,weightlifting,1.0
2024-01-05,Housework,2.5
2024-01-06,weightlifting,2.2
2024-01-06,Webpage Design,1.1
2024-01-06,Study History,2.4
2024-01-06,Study Programming,1.7
2024-01-07,Housework,2.7
2024-01-07,Study Programming,1.3
2024-01-08,Housework,3.9
2024-01-08,Study Programming,0.6
2024-01-09,Housework,1.3
2024-01-09,Study History,2.7
2024-01-09,Yoga,3.7
2024-01-10,Reading,1.4
2024-01-10,Study History,4.0
2024-01-10,Study Programming,3.2
2024-01-10,Webpage Design,2.3
2024-01-10,Yoga,4.0
2024-01-11,weightlifting,1.2
2024-01-11,Study Blender,1.8
2024-01-11,Housework,3.1
2024-01-11,Reading,1.6
2024-01-11,Yoga,2.5
2024-01-11,Webpage Design,2.1
2024-01-12,weightlifting,1.5
2024-01-12,Study Blender,1.4
2024-01-13,Yoga,1.4
2024-01-13,weightlifting,2.2
2024-01-14,Study Programming,1.1
2024-01-14,Study History,1.8
2024-01-14,Webpage Design,2.3
2024-01-14,Study Blender,3.5
2024-01-15,Reading,1.3
2024-01-15,Webpage Design,3.0
2024-01-16,Reading,1.5
2024-01-16,Study Blender,1.9
2024-01-16,Study History,1.8
2024-01-16,Yoga,2.9
2024-01-17,Reading,2.4
2024-01-17,Yoga,2.3
2024-01-17,Study Blender,3.3
2024-01-17,Study History,0.5
2024-01-18,Reading,1.3
2024-01-18,Study History,0.9
2024-01-19,Study Blender,1.9
2024-01-19,Reading,3.3
2024-01-19,Webpage Design,0.5
2024-01-20,Study Programming,0.7
2024-01-20,Study History,3.9
2024-01-20,Housework,1.9
2024-01-20,Yoga,2.8
2024-01-20,weightlifting,1.2
2024-01-21,Study History,1.6
2024-01-21,Housework,1.4
2024-01-21,Reading,3.6
2024-01-21,Webpage Design,2.2
2024-01-21,Study Programming,3.6
2024-01-21,weightlifting,1.5
2024-01-22,Study Programming,3.4
2024-01-22,Webpage Design,2.3
2024-01-22,Study Blender,3.9
2024-01-22,weightlifting,1.1
2024-01-23,Study Programming,1.5
2024-01-23,Webpage Design,2.8
2024-01-24,Webpage Design,0.5
2024-01-24,Study Programming,3.3
2024-01-25,weightlifting,3.2
2024-01-25,Study Blender,3.9
2024-01-25,Reading,1.0
2024-01-25,Study History,1.6
2024-01-25,Yoga,3.5
2024-01-26,weightlifting,3.3
2024-01-26,Housework,3.2
2024-01-26,Reading,3.7
2024-01-27,Housework,4.0
2024-01-27,Study Programming,1.8
2024-01-27,Study History,2.9
2024-01-27,Study Blender,1.4
2024-01-27,weightlifting,2.2
2024-01-28,Housework,2.0
2024-01-28,Webpage Design,3.9
2024-01-28,Reading,2.6
2024-01-28,Yoga,0.9
2024-01-28,Study Programming,0.7
2024-01-29,Study Blender,1.6
2024-01-29,Yoga,3.6
2024-01-29,Webpage Design,0.9
2024-01-29,Study History,3.6
2024-01-30,Study History,1.0
2024-01-30,Study Programming,0.7
2024-01-30,Reading,3.8
2024-01-30,Study Blender,2.0
2024-01-30,Webpage Design,1.5
2024-01-31,Housework,0.9
2024-01-31,Study Blender,1.8
2024-01-31,Yoga,4.0
2024-01-31,Study History,1.8
2024-02-01,Study Programming,2.9
2024-02-01,Study History,1.9
2024-02-02,Study History,1.8
2024-02-02,Webpage Design,0.9
2024-02-02,Study Blender,3.5
2024-02-03,Reading,0.5
2024-02-03,Study Blender,3.8
2024-02-04,Study History,1.2
2024-02-04,weightlifting,3.4
2024-02-04,Webpage Design,1.6
2024-02-04,Reading,4.0
2024-02-05,Reading,2.9
2024-02-05,Study Programming,2.9
2024-02-06,Study History,2.0
2024-02-06,Study Blender,3.4
2024-02-06,Yoga,3.5
2024-02-06,Webpage Design,2.9
2024-02-07,weightlifting,0.8
2024-02-07,Study Programming,3.4
2024-02-07,Housework,3.8
2024-02-07,Yoga,0.9
2024-02-07,Reading,0.8
2024-02-08,Webpage Design,0.9
2024-02-08,Housework,2.7
2024-02-09,Study Blender,2.3
2024-02-09,Reading,2.5
2024-02-09,Housework,1.6
2024-02-10,weightlifting,1.5
2024-02-10,Housework,2.9
2024-02-11,weightlifting,0.7
2024-02-11,Study History,2.3
2024-02-11,Webpage Design,3.7
2024-02-11,Yoga,3.0
2024-02-11,Reading,3.9
2024-02-11,Housework,1.0
2024-02-12,Webpage Design,3.0
2024-02-12,Study Programming,3.8
2024-02-13,Reading,0.8
2024-02-13,Yoga,2.6
2024-02-13,Study Programming,1.5
2024-02-13,Study History,0.8
2024-02-14,Webpage Design,2.4
2024-02-14,weightlifting,4.0
2024-02-14,Reading,2.1
2024-02-14,Study Blender,3.6
2024-02-15,Yoga,4.0
2024-02-15,Study Blender,0.8
2024-02-16,Housework,1.9
2024-02-16,Webpage Design,1.0
2024-02-16,Reading,3.7
2024-02-17,Study History,1.2
2024-02-17,weightlifting,2.1
2024-02-17,Reading,1.3
2024-02-17,Study Programming,3.0
2024-02-17,Study Blender,1.5
2024-02-18,Housework,2.5
2024-02-18,Reading,0.9
2024-02-19,Reading,1.7
2024-02-19,weightlifting,2.1
2024-02-19,Study Programming,2.6
2024-02-20,Study History,3.0
2024-02-20,Webpage Design,2.1
2024-02-20,Study Blender,3.5
2024-02-20,Reading,2.1
2024-02-20,weightlifting,0.8
2024-02-20,Study Programming,2.3
2024-02-21,Study Blender,2.7
2024-02-21,Webpage Design,3.0
2024-02-21,Study History,0.7
2024-02-21,Study Programming,2.7
2024-02-21,weightlifting,2.1
2024-02-21,Reading,2.9
2024-02-22,Study Blender,3.1
2024-02-22,Reading,3.6
2024-02-22,weightlifting,1.2
2024-02-23,Housework,1.4
2024-02-23,weightlifting,3.4
2024-02-23,Webpage Design,3.5
2024-02-23,Reading,3.7
2024-02-23,Study Programming,2.1
2024-02-23,Study Blender,2.2
2024-02-24,Study Blender,2.5
2024-02-24,Reading,3.0
2024-02-24,weightlifting,0.9
2024-02-24,Study History,3.9
2024-02-24,Study Programming,1.4
2024-02-24,Yoga,3.0
2024-02-25,Study Blender,2.6
2024-02-25,Webpage Design,2.4
2024-02-25,Reading,2.1
2024-02-26,Housework,2.2
2024-02-26,Reading,2.0
2024-02-26,Webpage Design,0.7
2024-02-27,Reading,1.9
2024-02-27,Housework,3.0
2024-02-27,weightlifting,3.4
2024-02-28,Study History,2.1
2024-02-28,Study Programming,1.7
2024-02-28,Yoga,1.2
2024-02-28,Webpage Design,2.1
2024-02-28,Study Blender,1.5
2024-02-29,Reading,2.6
2024-02-29,Webpage Design,0.8
2024-03-01,Study Programming,3.6
2024-03-01,Study Blender,0.8
2024-03-01,Webpage Design,1.2
2024-03-01,Reading,2.3
2024-03-01,weightlifting,2.4
2024-03-02,Study Blender,3.9
2024-03-02,Study History,1.3
2024-03-02,Reading,1.9
2024-03-02,Yoga,1.4
2024-03-02,weightlifting,1.7
2024-03-03,Study Programming,1.0
2024-03-03,Housework,2.1
2024-03-03,weightlifting,0.7
2024-03-03,Yoga,4.0
2024-03-04,Yoga,0.6
2024-03-04,Reading,3.5
2024-03-05,Yoga,2.5
2024-03-05,Study History,0.9
2024-03-05,Housework,3.7
2024-03-05,Webpage Design,0.8
2024-03-05,Study Programming,2.6
2024-03-06,Reading,2.9
2024-03-06,Housework,2.8
2024-03-06,Yoga,1.6
2024-03-06,Study Programming,3.9
2024-03-07,Webpage Design,3.5
2024-03-07,weightlifting,2.2
2024-03-07,Yoga,2.3
2024-03-07,Study Programming,1.3
2024-03-07,Study Blender,3.3
2024-03-08,Study History,1.2
2024-03-08,Yoga,0.7
2024-03-08,weightlifting,2.3
2024-03-08,Study Blender,1.1
2024-03-09,Study Programming,3.0
2024-03-09,Housework,2.0
2024-03-09,Webpage Design,3.6
2024-03-09,Study History,2.7
2024-03-09,weightlifting,1.8
2024-03-10,Housework,1.3
2024-03-10,Study History,1.6
2024-03-11,Study Blender,1.6
2024-03-11,Study Programming,3.8
2024-03-11,Reading,3.1
2024-03-11,Yoga,2.5
2024-03-11,Study History,3.4
2024-03-11,Housework,3.7
2024-03-12,Study History,0.5
2024-03-12,Webpage Design,1.2
2024-03-12,Study Blender,1.1
2024-03-12,Reading,3.0
2024-03-12,Housework,1.1
2024-03-12,weightlifting,1.6
2024-03-13,Study Blender,1.5
2024-03-13,Study Programming,1.8
2024-03-13,Webpage Design,3.1
2024-03-13,Study History,2.7
2024-03-13,Yoga,2.5
2024-03-14,Yoga,2.5
2024-03-14,Reading,3.6
2024-03-15,Study Programming,0.9
2024-03-15,Study History,1.8
2024-03-15,Housework,2.2
2024-03-16,Yoga,1.2
2024-03-16,weightlifting,1.6
2024-03-16,Study Programming,3.9
2024-03-16,Reading,2.3
2024-03-16,Webpage Design,3.9
2024-03-16,Study History,3.4
2024-03-17,Housework,0.7
2024-03-17,Study Blender,1.8
2024-03-17,Reading,1.3
2024-03-17,Webpage Design,3.9
2024-03-18,Study History,3.0
2024-03-18,Study Blender,3.5
2024-03-18,Webpage Design,1.0
2024-03-18,weightlifting,0.9
2024-03-18,Reading,3.0
2024-03-18,Yoga,1.4
2024-03-19,Study Programming,2.3
2024-03-19,Webpage Design,1.7
2024-03-20,Study Programming,3.6
2024-03-20,weightlifting,3.7
2024-03-21,weightlifting,3.8
2024-03-21,Study History,2.1
2024-03-21,Housework,3.3
2024-03-21,Webpage Design,1.3
2024-03-21,Study Blender,3.8
2024-03-21,Reading,1.0
2024-03-22,Yoga,3.4
2024-03-22,Study Blender,3.9
2024-03-22,Reading,3.2
2024-03-22,Study History,1.7
2024-03-22,weightlifting,3.9
2024-03-23,weightlifting,1.5
2024-03-23,Yoga,3.0
2024-03-23,Housework,1.2
2024-03-23,Study Programming,3.2
2024-03-23,Study Blender,2.7
2024-03-24,Yoga,1.6
2024-03-24,Reading,2.9
2024-03-24,Study History,1.9
2024-03-24,Study Programming,0.8
2024-03-24,Housework,1.1
2024-03-25,weightlifting,1.6
2024-03-25,Study History,0.9
2024-03-25,Study Blender,2.5
2024-03-25,Housework,1.9
2024-03-25,Yoga,1.3
2024-03-26,Study History,3.9
2024-03-26,Reading,0.8
2024-03-26,Study Programming,1.9
2024-03-26,Study Blender,3.1
2024-03-27,Webpage Design,3.8
2024-03-27,Housework,2.5
2024-03-27,Study Blender,2.5
2024-03-27,Reading,1.7
2024-03-28,weightlifting,2.9
2024-03-28,Study Programming,1.3
2024-03-28,Yoga,1.5
2024-03-28,Reading,4.0
2024-03-29,Housework,2.9
2024-03-29,Study Blender,2.0
2024-03-29,Study History,2.2
2024-03-29,Webpage Design,2.9
2024-03-29,Yoga,0.9
2024-03-29,Reading,3.1
2024-03-30,weightlifting,0.6
2024-03-30,Reading,0.7
2024-03-31,Yoga,3.7
2024-03-31,Housework,3.7
2024-03-31,Study Blender,3.7
2024-03-31,Webpage Design,2.2
2024-04-01,Study Blender,2.7
2024-04-01,Webpage Design,1.2
2024-04-01,Housework,0.9
2024-04-02,Yoga,1.0
2024-04-02,Study Programming,2.5
2024-04-02,Study Blender,3.5
2024-04-03,Study History,4.0
2024-04-03,Webpage Design,2.9
2024-04-04,Yoga,1.0
2024-04-04,weightlifting,1.9
2024-04-04,Study Blender,3.5
2024-04-05,Webpage Design,2.0
2024-04-05,Study Blender,3.6
2024-04-05,Reading,2.0
2024-04-05,weightlifting,0.5
2024-04-05,Housework,2.0
2024-04-05,Study History,1.9
2024-04-06,Study Blender,3.0
2024-04-06,Reading,1.8
2024-04-06,Housework,2.8
2024-04-07,Study History,1.7
2024-04-07,Study Programming,2.3
2024-04-08,Study Blender,2.1
2024-04-08,Webpage Design,3.6
2024-04-08,Study History,0.5
2024-04-08,Housework,2.2
2024-04-08,Yoga,2.2
2024-04-08,Study Programming,1.8
2024-04-09,weightlifting,0.5
2024-04-09,Housework,3.3
2024-04-09,Reading,3.7
2024-04-10,Reading,3.6
2024-04-10,Study Programming,3.0
2024-04-11,Study History,2.2
2024-04-11,Webpage Design,1.3
2024-04-11,Reading,1.6
2024-04-11,Study Programming,1.4
2024-04-12,Reading,2.7
2024-04-12,Yoga,3.1
2024-04-12,weightlifting,1.3
2024-04-12,Webpage Design,0.6
2024-04-12,Housework,1.4
2024-04-12,Study Programming,1.5
2024-04-13,Reading,2.4
2024-04-13,Study Programming,3.3
2024-04-13,Housework,1.8
2024-04-13,Study Blender,1.1
2024-04-13,Study History,2.2
2024-04-13,weightlifting,3.4
2024-04-14,Yoga,2.1
2024-04-14,Study Programming,3.1
2024-04-15,Yoga,3.4
2024-04-15,Reading,1.0
2024-04-15,Webpage Design,1.9
2024-04-15,Study Programming,3.2
2024-04-16,Study Blender,1.8
2024-04-16,Study Programming,2.8
2024-04-16,Study History,3.8
2024-04-16,Housework,2.9
2024-04-16,Reading,1.1
2024-04-17,weightlifting,1.9
2024-04-17,Study History,3.9
2024-04-17,Yoga,1.8
2024-04-17,Study Blender,2.9
2024-04-18,Study History,1.5
2024-04-18,Reading,3.5
2024-04-18,Webpage Design,0.5
2024-04-19,Housework,3.4
2024-04-19,Reading,1.4
2024-04-20,weightlifting,2.3
2024-04-20,Webpage Design,2.3
2024-04-20,Reading,1.8
2024-04-20,Housework,1.5
2024-04-20,Study Blender,2.2
2024-04-20,Yoga,1.8
2024-04-21,Study Blender,1.3
2024-04-21,Study Programming,2.7
2024-04-22,Housework,3.0
2024-04-22,weightlifting,2.3
2024-04-22,Yoga,0.7
2024-04-22,Reading,0.8
2024-04-23,Reading,2.9
2024-04-23,Study History,2.7
2024-04-23,weightlifting,2.5
2024-04-24,Study Blender,2.8
2024-04-24,Study Programming,1.0
2024-04-24,Study History,1.7
2024-04-24,weightlifting,0.8
2024-04-24,Housework,3.4
2024-04-25,Housework,1.6
2024-04-25,Webpage Design,2.5
2024-04-25,Yoga,2.2
2024-04-25,Study Blender,3.1
2024-04-26,Yoga,3.7
2024-04-26,Webpage Design,3.8
2024-04-26,Study History,1.8
2024-04-26,Study Blender,3.6
2024-04-26,Reading,2.9
2024-04-26,Housework,2.4
2024-04-27,Study Programming,3.7
2024-04-27,Study History,3.8
2024-04-28,weightlifting,2.6
2024-04-28,Reading,3.9
2024-04-28,Yoga,3.4
2024-04-29,Housework,1.9
2024-04-29,Study History,2.3
2024-04-29,Reading,2.8
2024-04-29,Webpage Design,1.8
2024-04-29,Yoga,1.4
2024-04-29,Study Programming,1.0
2024-04-30,Yoga,2.2
2024-04-30,Study Programming,0.6
2024-04-30,weightlifting,2.2
2024-04-30,Reading,3.0
2024-04-30,Study History,3.9
2024-04-30,Housework,3.9
2024-05-01,Reading,1.5
2024-05-01,Study Blender,2.6
2024-05-01,weightlifting,1.4
2024-05-01,Study Programming,0.5
2024-05-01,Study History,2.0
2024-05-01,Yoga,2.6
2024-05-02,Yoga,2.6
2024-05-02,Study Programming,2.4
2024-05-02,Housework,2.4
2024-05-02,Study History,3.4
2024-05-03,Study Blender,1.1
2024-05-03,Reading,3.5
2024-05-03,Study Programming,2.6
2024-05-03,weightlifting,2.8
2024-05-04,Reading,0.7
2024-05-04,Study Blender,2.8
2024-05-04,Yoga,3.5
2024-05-05,Study History,1.3
2024-05-05,weightlifting,3.5
2024-05-05,Yoga,3.4
2024-05-05,Study Blender,1.4
2024-05-05,Housework,1.3
2024-05-05,Study Programming,3.9
2024-05-06,Study History,2.8
2024-05-06,weightlifting,2.4
2024-05-07,Yoga,1.4
2024-05-07,Housework,2.0
2024-05-07,weightlifting,0.9
2024-05-07,Study History,1.6
2024-05-07,Study Programming,1.0
2024-05-07,Study Blender,1.4
2024-05-08,Webpage Design,0.9
2024-05-08,Housework,0.9
2024-05-08,Study Programming,1.8
2024-05-08,Study Blender,2.6
2024-05-08,Study History,2.4
2024-05-08,Reading,2.3
2024-05-09,Study Programming,2.8
2024-05-09,Webpage Design,2.6
2024-05-10,Study History,2.1
2024-05-10,Webpage Design,1.7
2024-05-10,Study Blender,3.9
2024-05-10,Study Programming,2.6
2024-05-11,Yoga,2.6
2024-05-11,Study History,2.8
2024-05-12,Study History,0.8
2024-05-12,Study Blender,3.0
2024-05-12,Yoga,3.7
2024-05-12,weightlifting,0.7
2024-05-13,Housework,2.2
2024-05-13,Webpage Design,1.0
2024-05-13,Reading,2.9
2024-05-13,Yoga,1.4
2024-05-13,weightlifting,0.5
2024-05-13,Study Blender,2.4
2024-05-14,Housework,3.9
2024-05-14,Study Blender,3.0
2024-05-14,Reading,2.2
2024-05-15,weightlifting,0.8
2024-05-15,Study Programming,3.8
2024-05-15,Study Blender,1.6
2024-05-15,Study History,2.5
2024-05-16,Study History,0.6
2024-05-16,Reading,1.5
2024-05-16,Study Blender,1.2
2024-05-16,weightlifting,1.9
2024-05-16,Yoga,1.4
2024-05-16,Webpage Design,2.2
2024-05-17,Reading,1.0
2024-05-17,Webpage Design,0.7
2024-05-18,Webpage Design,3.6
2024-05-18,Study Programming,2.2
