Date,Task,Estimated Time (hours),Actual Time (hours),Status
2023-11-16,Webpage Design,3.5,3.8,Completed
2023-11-16,Housework,1.0,1.4,Completed
2023-11-17,Webpage Design,0.7,0.6,Not Completed
2023-11-17,Reading,2.5,2.1,Not Completed
2023-11-17,Study Blender,3.6,3.2,Not Completed
2023-11-17,Study Programming,0.7,0.7,Completed
2023-11-18,Yoga,1.0,1.2,Completed
2023-11-18,Study Blender,0.9,0.8,Not Completed
2023-11-18,Reading,3.9,3.7,Not Completed
2023-11-18,weightlifting,0.8,0.7,Not Completed
2023-11-19,Housework,2.6,2.2,Not Completed
2023-11-19,Webpage Design,1.2,1.2,Completed
2023-11-20,Housework,1.4,1.4,Completed
2023-11-20,weightlifting,1.4,1.1,Not Completed
2023-11-20,Webpage Design,1.4,1.9,Completed
2023-11-20,Study Blender,3.7,2.6,Not Completed
2023-11-21,Housework,1.1,0.8,Not Completed
2023-11-21,Webpage Design,3.9,5.1,Completed
2023-11-22,Study Programming,3.1,2.2,Not Completed
2023-11-22,Study Blender,1.1,1.0,Not Completed
2023-11-22,weightlifting,0.6,0.5,Not Completed
2023-11-22,Webpage Design,1.5,1.1,Not Completed
2023-11-22,Yoga,0.6,0.5,Not Completed
2023-11-22,Study History,3.6,4.1,Completed
2023-11-23,weightlifting,0.6,0.6,Completed
2023-11-23,Study Blender,0.6,0.4,Not Completed
2023-11-23,Yoga,1.1,1.0,Not Completed
2023-11-23,Reading,3.1,2.4,Not Completed
2023-11-23,Housework,2.8,3.3,Completed
2023-11-24,weightlifting,3.6,3.7,Completed
2023-11-24,Study Blender,2.3,1.9,Not Completed
2023-11-24,Webpage Design,3.7,4.1,Completed
2023-11-24,Housework,0.7,1.0,Completed
2023-11-24,Reading,4.0,6.0,Completed
2023-11-25,Housework,2.5,1.8,Not Completed
2023-11-25,Yoga,1.9,2.2,Completed
2023-11-25,Reading,3.8,4.6,Completed
2023-11-25,weightlifting,1.5,2.2,Completed
2023-11-26,Study Programming,2.6,2.9,Completed
2023-11-26,Study History,0.5,0.4,Not Completed
2023-11-26,Housework,1.8,1.8,Completed
2023-11-26,Reading,3.2,2.3,Not Completed
2023-11-27,Study History,1.4,1.3,Not Completed
2023-11-27,Study Blender,3.6,3.3,Not Completed
2023-11-27,weightlifting,3.1,2.4,Not Completed
2023-11-27,Study Programming,1.7,2.1,Completed
2023-11-28,Yoga,2.5,3.1,Completed
2023-11-28,weightlifting,3.0,3.2,Completed
2023-11-28,Reading,3.6,3.8,Completed
2023-11-28,Housework,0.7,0.8,Completed
2023-11-29,Yoga,3.4,3.4,Completed
2023-11-29,Study Programming,1.8,1.8,Completed
2023-11-29,Study Blender,1.5,1.6,Completed
2023-11-29,Study History,1.8,1.5,Not Completed
2023-11-29,Webpage Design,1.1,1.2,Completed
2023-11-30,Study Programming,1.9,2.8,Completed
2023-11-30,Webpage Design,2.3,2.5,Completed
2023-11-30,Yoga,3.9,3.1,Not Completed
2023-12-01,Webpage Design,2.3,2.2,Not Completed
2023-12-01,Yoga,0.7,0.6,Not Completed
2023-12-01,Housework,1.3,1.5,Completed
2023-12-01,Reading,1.1,0.9,Not Completed
2023-12-01,weightlifting,1.7,2.5,Completed
2023-12-02,Housework,1.8,2.4,Completed
2023-12-02,Reading,1.3,1.8,Completed
2023-12-02,Study History,2.0,2.9,Completed
2023-12-02,Webpage Design,2.3,2.1,Not Completed
2023-12-03,Study Programming,1.3,1.8,Completed
2023-12-03,weightlifting,2.5,2.7,Completed
2023-12-03,Study Blender,1.5,1.3,Not Completed
2023-12-03,Housework,3.8,4.2,Completed
2023-12-04,Webpage Design,3.7,5.5,Completed
2023-12-04,Yoga,0.8,0.7,Not Completed
2023-12-04,Housework,1.6,2.1,Completed
2023-12-05,Yoga,0.6,0.7,Completed
2023-12-05,Study History,0.7,0.5,Not Completed
2023-12-06,Yoga,1.2,1.3,Completed
2023-12-06,Housework,3.1,3.6,Completed
2023-12-06,Study History,2.1,1.9,Not Completed
2023-12-06,Study Blender,1.6,2.4,Completed
2023-12-06,weightlifting,2.0,2.8,Completed
2023-12-06,Webpage Design,3.2,4.0,Completed
2023-12-07,Study Programming,2.4,1.9,Not Completed
2023-12-07,Reading,3.3,3.5,Completed
2023-12-08,weightlifting,1.4,1.3,Not Completed
2023-12-08,Study Blender,3.8,3.8,Completed
2023-12-09,Housework,1.6,2.2,Completed
2023-12-09,Webpage Design,2.4,1.7,Not Completed
2023-12-10,Reading,3.3,4.7,Completed
2023-12-10,Study Programming,0.8,0.6,Not Completed
2023-12-10,Yoga,0.6,0.6,Completed
2023-12-10,Study Blender,2.2,2.7,Completed
2023-12-11,Webpage Design,2.5,3.1,Completed
2023-12-11,weightlifting,0.9,1.1,Completed
2023-12-11,Study Programming,1.8,1.7,Not Completed
2023-12-11,Study Blender,3.3,2.8,Not Completed
2023-12-11,Study History,1.4,1.0,Not Completed
2023-12-12,Reading,0.8,1.0,Completed
2023-12-12,Study Blender,3.8,5.3,Completed
2023-12-12,Housework,2.4,2.1,Not Completed
2023-12-12,Study History,2.2,2.9,Completed
2023-12-12,Study Programming,2.3,1.9,Not Completed
2023-12-12,Yoga,3.5,2.8,Not Completed
2023-12-13,Webpage Design,3.3,4.5,Completed
2023-12-13,Study Blender,2.6,3.3,Completed
2023-12-14,Reading,3.2,3.2,Completed
2023-12-14,Yoga,3.9,4.7,Completed
2023-12-14,Webpage Design,2.7,2.6,Not Completed
2023-12-14,weightlifting,2.8,2.4,Not Completed
2023-12-14,Study Programming,2.8,3.7,Completed
2023-12-15,Study History,3.6,4.8,Completed
2023-12-15,Study Blender,1.7,2.3,Completed
2023-12-15,weightlifting,1.7,2.0,Completed
2023-12-15,Yoga,1.4,1.0,Not Completed
2023-12-15,Housework,3.9,3.1,Not Completed
2023-12-16,weightlifting,2.0,1.8,Not Completed
2023-12-16,Yoga,1.6,2.4,Completed
2023-12-16,Webpage Design,1.0,1.0,Completed
2023-12-16,Study Blender,2.1,2.7,Completed
2023-12-17,Yoga,1.9,1.5,Not Completed
2023-12-17,Housework,3.2,3.7,Completed
2023-12-17,weightlifting,2.5,3.7,Completed
2023-12-18,weightlifting,2.1,1.8,Not Completed
2023-12-18,Housework,1.6,1.7,Completed
2023-12-18,Study History,1.7,2.4,Completed
2023-12-18,Yoga,0.9,0.9,Completed
2023-12-18,Study Blender,3.6,2.7,Not Completed
2023-12-19,Study Programming,1.7,1.2,Not Completed
2023-12-19,Webpage Design,0.6,0.6,Completed
2023-12-19,weightlifting,1.9,1.8,Not Completed
2023-12-19,Yoga,2.2,3.1,Completed
2023-12-20,Yoga,1.8,1.6,Not Completed
2023-12-20,Webpage Design,2.1,1.5,Not Completed
2023-12-20,weightlifting,3.3,2.7,Not Completed
2023-12-21,Study Blender,3.0,3.5,Completed
2023-12-21,Housework,3.8,5.3,Completed
2023-12-21,weightlifting,1.6,2.1,Completed
2023-12-22,Study Programming,2.4,2.1,Not Completed
2023-12-22,Housework,1.3,1.8,Completed
2023-12-22,Study History,2.9,2.4,Not Completed
2023-12-23,Study Programming,2.1,2.3,Completed
2023-12-23,Study History,3.3,4.0,Completed
2023-12-23,Housework,3.0,3.7,Completed
2023-12-23,weightlifting,3.4,3.9,Completed
2023-12-24,Study Blender,0.5,0.6,Completed
2023-12-24,Reading,0.8,1.0,Completed
2023-12-24,Study History,3.3,2.5,Not Completed
2023-12-24,weightlifting,3.2,3.3,Completed
2023-12-25,Reading,0.8,0.7,Not Completed
2023-12-25,Study History,2.3,2.8,Completed
2023-12-25,weightlifting,3.5,3.6,Completed
2023-12-25,Study Blender,1.8,2.0,Completed
2023-12-25,Housework,3.0,2.5,Not Completed
2023-12-25,Yoga,2.2,2.0,Not Completed
2023-12-26,weightlifting,0.7,0.9,Completed
2023-12-26,Study History,0.8,0.6,Not Completed
2023-12-26,Reading,0.9,0.7,Not Completed
2023-12-26,Yoga,0.7,1.0,Completed
2023-12-26,Webpage Design,2.3,3.0,Completed
2023-12-26,Study Blender,2.4,3.5,Completed
2023-12-27,Study Programming,0.8,0.7,Not Completed
2023-12-27,Study Blender,3.8,5.2,Completed
2023-12-27,Housework,2.3,3.0,Completed
2023-12-27,Reading,0.7,0.6,Not Completed
2023-12-27,Study History,3.9,4.2,Completed
2023-12-28,Yoga,3.1,3.4,Completed
2023-12-28,Reading,1.8,1.3,Not Completed
2023-12-28,Study Blender,1.7,2.5,Completed
2023-12-28,weightlifting,2.8,2.7,Not Completed
2023-12-28,Webpage Design,1.6,1.9,Completed
2023-12-28,Study Programming,2.9,3.0,Completed
2023-12-29,Study History,0.7,1.0,Completed
2023-12-29,Yoga,3.7,2.8,Not Completed
2023-12-30,Study Programming,2.3,2.4,Completed
2023-12-30,Reading,2.6,2.5,Not Completed
2023-12-30,weightlifting,1.8,2.1,Completed
2023-12-30,Yoga,1.8,1.3,Not Completed
2023-12-30,Webpage Design,2.2,2.0,Not Completed
2023-12-31,Housework,2.4,2.6,Completed
2023-12-31,Study Blender,2.1,2.5,Completed
2023-12-31,weightlifting,2.5,2.9,Completed
2023-12-31,Yoga,2.5,3.7,Completed
2024-01-01,Webpage Design,1.7,2.5,Completed
2024-01-01,Reading,2.9,3.5,Completed
2024-01-01,Yoga,1.9,1.8,Not Completed
2024-01-01,Study Programming,3.8,5.6,Completed
2024-01-02,Study Programming,1.4,1.4,Completed
2024-01-02,weightlifting,3.8,4.9,Completed
2024-01-02,Reading,2.8,4.1,Completed
2024-01-02,Study History,2.8,3.6,Completed
2024-01-02,Yoga,1.4,1.4,Completed
2024-01-02,Housework,0.7,0.8,Completed
2024-01-03,Housework,3.8,5.3,Completed
2024-01-03,Study Programming,0.8,0.8,Completed
2024-01-03,Study Blender,1.7,2.3,Completed
2024-01-03,Reading,3.5,3.5,Completed
2024-01-03,Webpage Design,1.3,1.2,Not Completed
2024-01-04,Webpage Design,3.9,2.8,Not Completed
2024-01-04,Yoga,2.0,1.8,Not Completed
2024-01-04,Study Programming,2.0,2.8,Completed
2024-01-04,Housework,3.8,2.7,Not Completed
2024-01-04,Study Blender,3.7,3.5,Not Completed
2024-01-04,Reading,1.4,1.8,Completed
2024-01-05,Study Blender,2.1,2.2,Completed
2024-01-05,Study Programming,3.0,3.8,Completed
2024-01-05,Reading,0.6,0.8,Completed
2024-01-05,Yoga,1.2,1.6,Completed
2024-01-05,Study History,1.9,2.1,Completed
2024-01-06,Study History,1.1,1.5,Completed
2024-01-06,Yoga,3.0,2.5,Not Completed
2024-01-06,Housework,2.4,1.9,Not Completed
2024-01-06,Study Programming,3.8,4.3,Completed
2024-01-06,Webpage Design,1.6,1.5,Not Completed
2024-01-07,Study Blender,3.2,3.2,Completed
2024-01-07,weightlifting,2.4,2.3,Not Completed
2024-01-07,Yoga,2.1,2.0,Not Completed
2024-01-07,Study Programming,1.2,1.2,Completed
2024-01-07,Study History,0.9,1.1,Completed
2024-01-08,Study Blender,3.6,4.9,Completed
2024-01-08,Reading,1.3,1.7,Completed
2024-01-08,Webpage Design,1.5,1.2,Not Completed
2024-01-09,Reading,2.1,2.3,Completed
2024-01-09,weightlifting,2.5,2.1,Not Completed
2024-01-09,Webpage Design,2.5,3.6,Completed
2024-01-09,Yoga,1.2,1.6,Completed
2024-01-09,Study Blender,2.2,2.9,Completed
2024-01-09,Study History,3.2,4.2,Completed
2024-01-10,Housework,3.6,5.1,Completed
2024-01-10,weightlifting,3.0,4.1,Completed
2024-01-10,Study Programming,2.7,2.9,Completed
2024-01-10,Yoga,2.7,2.5,Not Completed
2024-01-10,Study History,2.7,2.8,Completed
2024-01-11,Housework,2.8,2.7,Not Completed
2024-01-11,Reading,1.4,1.8,Completed
2024-01-12,Study Blender,2.5,2.9,Completed
2024-01-12,Webpage Design,2.1,2.8,Completed
2024-01-12,weightlifting,2.9,2.6,Not Completed
2024-01-13,Webpage Design,2.8,4.1,Completed
2024-01-13,weightlifting,3.4,4.4,Completed
2024-01-13,Housework,2.0,2.4,Completed
2024-01-13,Study History,0.7,0.7,Completed
2024-01-13,Reading,3.9,4.3,Completed
2024-01-14,Webpage Design,2.7,1.9,Not Completed
2024-01-14,Housework,1.0,1.1,Completed
2024-01-14,Study History,2.7,2.1,Not Completed
2024-01-14,Study Blender,3.8,3.6,Not Completed
2024-01-14,Yoga,0.6,0.6,Completed
2024-01-15,Yoga,1.3,1.8,Completed
2024-01-15,Study Blender,3.6,3.6,Completed
2024-01-16,Study Blender,3.2,3.9,Completed
2024-01-16,Webpage Design,3.0,3.5,Completed
2024-01-16,Study Programming,0.6,0.7,Completed
2024-01-16,Reading,2.3,3.3,Completed
2024-01-16,weightlifting,3.2,2.3,Not Completed
2024-01-16,Housework,2.3,3.4,Completed
2024-01-17,Webpage Design,2.1,1.7,Not Completed
2024-01-17,Study Programming,1.5,1.4,Not Completed
2024-01-18,Reading,4.0,5.9,Completed
2024-01-18,Yoga,3.7,2.9,Not Completed
2024-01-18,weightlifting,3.0,3.0,Completed
2024-01-18,Study History,3.8,4.8,Completed
2024-01-18,Housework,0.7,0.9,Completed
2024-01-19,Yoga,1.1,1.5,Completed
2024-01-19,Study History,1.6,1.6,Completed
2024-01-19,weightlifting,4.0,4.8,Completed
2024-01-19,Study Blender,0.9,0.8,Not Completed
2024-01-19,Reading,2.2,2.8,Completed
2024-01-19,Housework,3.7,4.7,Completed
2024-01-20,Webpage Design,3.7,3.6,Not Completed
2024-01-20,Reading,0.6,0.7,Completed
2024-01-20,Yoga,2.5,1.8,Not Completed
2024-01-20,weightlifting,2.0,2.8,Completed
2024-01-20,Study History,3.1,2.2,Not Completed
2024-01-21,Study History,3.9,5.5,Completed
2024-01-21,Yoga,0.6,0.5,Not Completed
2024-01-21,Study Blender,0.9,0.7,Not Completed
2024-01-21,Reading,0.8,1.1,Completed
2024-01-21,Webpage Design,1.7,2.4,Completed
2024-01-21,Housework,2.5,3.0,Completed
2024-01-22,Webpage Design,1.1,1.1,Completed
2024-01-22,Housework,2.3,2.3,Completed
2024-01-22,Yoga,2.8,2.3,Not Completed
2024-01-22,Reading,2.6,2.5,Not Completed
2024-01-22,Study Blender,1.9,2.0,Completed
2024-01-23,Yoga,1.1,1.0,Not Completed
2024-01-23,Webpage Design,2.6,3.4,Completed
2024-01-23,Study History,3.3,4.5,Completed
2024-01-23,Reading,2.9,3.4,Completed
2024-01-23,Study Programming,2.1,2.2,Completed
2024-01-24,Study Programming,2.9,2.1,Not Completed
2024-01-24,Study Blender,1.6,2.2,Completed
2024-01-24,Housework,1.1,0.9,Not Completed
2024-01-24,Reading,0.9,0.6,Not Completed
2024-01-24,Yoga,1.0,0.9,Not Completed
2024-01-25,Reading,0.7,0.6,Not Completed
2024-01-25,Yoga,1.2,1.7,Completed
2024-01-25,Study History,1.3,1.9,Completed
2024-01-25,Housework,0.6,0.6,Completed
2024-01-25,Study Programming,3.3,2.4,Not Completed
2024-01-26,Reading,2.7,2.0,Not Completed
2024-01-26,Study History,3.0,4.0,Completed
2024-01-27,Study Blender,3.9,3.9,Completed
2024-01-27,Reading,1.3,1.6,Completed
2024-01-27,weightlifting,2.8,3.0,Completed
2024-01-27,Study History,3.3,2.7,Not Completed
2024-01-28,Study Blender,2.2,3.3,Completed
2024-01-28,Study Programming,3.9,3.2,Not Completed
2024-01-28,weightlifting,1.6,1.6,Completed
2024-01-28,Reading,0.9,1.0,Completed
2024-01-28,Housework,3.7,5.5,Completed
2024-01-29,Study History,2.4,3.1,Completed
2024-01-29,Reading,3.3,3.6,Completed
2024-01-29,Yoga,1.0,0.8,Not Completed
2024-01-29,Housework,1.6,1.9,Completed
2024-01-29,weightlifting,3.9,4.9,Completed
2024-01-30,Study History,2.7,2.6,Not Completed
2024-01-30,Study Blender,3.2,4.0,Completed
2024-01-31,Housework,1.7,1.2,Not Completed
2024-01-31,weightlifting,3.9,2.9,Not Completed
2024-01-31,Study Programming,1.8,2.2,Completed
2024-01-31,Reading,1.7,2.4,Completed
2024-02-01,weightlifting,1.1,0.8,Not Completed
2024-02-01,Study Programming,1.7,2.5,Completed
2024-02-01,Yoga,1.5,1.1,Not Completed
2024-02-02,Webpage Design,0.8,0.6,Not Completed
2024-02-02,Reading,2.1,1.7,Not Completed
2024-02-03,Reading,3.7,4.7,Completed
2024-02-03,Study Programming,4.0,5.9,Completed
2024-02-03,Study History,1.4,1.4,Completed
2024-02-03,Housework,2.0,1.4,Not Completed
2024-02-03,weightlifting,2.8,2.7,Not Completed
2024-02-03,Yoga,3.4,2.7,Not Completed
2024-02-04,Study Blender,2.4,2.6,Completed
2024-02-04,Housework,3.1,3.0,Not Completed
2024-02-04,Yoga,1.9,2.2,Completed
2024-02-04,Reading,3.3,4.9,Completed
2024-02-04,Study Programming,1.8,2.5,Completed
2024-02-05,Webpage Design,1.9,2.4,Completed
2024-02-05,Study Programming,2.3,2.4,Completed
2024-02-05,Study History,0.8,1.0,Completed
2024-02-05,weightlifting,1.8,2.5,Completed
2024-02-05,Reading,3.1,2.6,Not Completed
2024-02-05,Yoga,3.7,5.3,Completed
2024-02-06,Housework,2.0,2.4,Completed
2024-02-06,Webpage Design,2.1,2.1,Completed
2024-02-06,Study Blender,1.1,1.4,Completed
2024-02-06,Reading,1.2,1.7,Completed
2024-02-06,weightlifting,2.3,2.2,Not Completed
2024-02-06,Study Programming,2.4,1.9,Not Completed
2024-02-07,Study Blender,1.2,1.8,Completed
2024-02-07,Housework,2.9,2.4,Not Completed
2024-02-07,Study History,3.5,2.7,Not Completed
2024-02-07,weightlifting,0.6,0.6,Completed
2024-02-07,Webpage Design,2.6,2.3,Not Completed
2024-02-08,Reading,1.3,1.6,Completed
2024-02-08,weightlifting,3.0,3.7,Completed
2024-02-08,Webpage Design,2.6,2.5,Not Completed
2024-02-08,Housework,3.1,3.8,Completed
2024-02-08,Study Blender,1.0,1.0,Completed
2024-02-08,Study Programming,1.7,1.5,Not Completed
2024-02-09,Reading,3.6,3.8,Completed
2024-02-09,Yoga,2.3,1.9,Not Completed
2024-02-09,Webpage Design,0.6,0.6,Completed
2024-02-10,Reading,3.1,2.7,Not Completed
2024-02-10,Webpage Design,1.7,1.6,Not Completed
2024-02-10,Study History,2.8,4.0,Completed
2024-02-10,weightlifting,3.7,4.0,Completed
2024-02-10,Yoga,3.5,4.4,Completed
2024-02-11,Study Programming,0.9,1.2,Completed
2024-02-11,weightlifting,1.4,1.2,Not Completed
2024-02-11,Study Blender,2.3,2.2,Not Completed
2024-02-11,Webpage Design,3.0,3.5,Completed
2024-02-12,Webpage Design,3.1,4.2,Completed
2024-02-12,Housework,1.9,2.3,Completed
2024-02-12,Study Blender,2.4,2.5,Completed
2024-02-12,Yoga,2.9,3.9,Completed
2024-02-12,Study History,3.5,3.9,Completed
2024-02-12,Reading,2.7,3.8,Completed
2024-02-13,Study History,0.7,0.6,Not Completed
2024-02-13,Study Programming,1.1,1.6,Completed
2024-02-13,Webpage Design,1.5,2.2,Completed
2024-02-13,weightlifting,1.3,1.7,Completed
2024-02-13,Housework,0.8,0.9,Completed
2024-02-14,Reading,1.6,1.3,Not Completed
2024-02-14,Yoga,2.5,3.1,Completed
2024-02-14,Study History,3.1,4.1,Completed
2024-02-15,Reading,2.0,1.7,Not Completed
2024-02-15,Study Blender,2.5,2.4,Not Completed
2024-02-16,weightlifting,3.9,4.9,Completed
2024-02-16,Housework,2.9,3.5,Completed
2024-02-16,Webpage Design,1.8,2.7,Completed
2024-02-16,Study History,0.8,0.6,Not Completed
2024-02-17,Study Blender,0.5,0.6,Completed
2024-02-17,Reading,1.1,1.4,Completed
2024-02-17,weightlifting,2.4,3.3,Completed
2024-02-17,Housework,2.7,2.1,Not Completed
2024-02-18,Study Programming,2.3,2.3,Completed
2024-02-18,Webpage Design,3.2,4.3,Completed
2024-02-19,Housework,4.0,4.6,Completed
2024-02-19,weightlifting,2.9,3.3,Completed
2024-02-19,Study Blender,0.6,0.5,Not Completed
2024-02-19,Yoga,0.9,1.1,Completed
2024-02-19,Study Programming,0.6,0.5,Not Completed
2024-02-20,Yoga,1.5,1.6,Completed
2024-02-20,Housework,3.0,2.9,Not Completed
2024-02-20,Study Programming,3.4,3.1,Not Completed
2024-02-20,Webpage Design,3.8,5.1,Completed
2024-02-21,Housework,3.9,5.3,Completed
2024-02-21,Study Blender,3.0,2.3,Not Completed
2024-02-22,Yoga,1.8,2.2,Completed
2024-02-22,Reading,0.7,0.5,Not Completed
2024-02-22,Webpage Design,4.0,3.4,Not Completed
2024-02-22,Study History,1.4,1.8,Completed
2024-02-23,Yoga,3.0,2.9,Not Completed
2024-02-23,Study Blender,1.6,1.2,Not Completed
2024-02-23,weightlifting,2.1,1.7,Not Completed
2024-02-23,Study Programming,2.8,2.5,Not Completed
2024-02-23,Housework,2.3,3.1,Completed
2024-02-23,Study History,1.6,2.0,Completed
2024-02-24,Study Programming,2.0,2.5,Completed
2024-02-24,weightlifting,3.4,3.9,Completed
2024-02-24,Webpage Design,1.0,1.2,Completed
2024-02-24,Study History,1.4,1.3,Not Completed
2024-02-24,Housework,4.0,5.3,Completed
2024-02-25,Reading,1.0,0.9,Not Completed
2024-02-25,Housework,1.1,1.1,Completed
2024-02-25,weightlifting,3.7,5.2,Completed
2024-02-25,Study Programming,3.0,2.2,Not Completed
2024-02-25,Study Blender,3.2,3.9,Completed
2024-02-25,Yoga,2.4,2.8,Completed
2024-02-26,Housework,3.5,2.8,Not Completed
2024-02-26,Webpage Design,1.4,2.0,Completed
2024-02-26,Yoga,3.9,5.7,Completed
2024-02-26,Study History,2.3,1.8,Not Completed
2024-02-26,Study Blender,1.7,1.8,Completed
2024-02-26,Study Programming,0.6,0.4,Not Completed
2024-02-27,Reading,2.4,2.1,Not Completed
2024-02-27,Webpage Design,2.9,3.5,Completed
2024-02-27,Study Blender,1.4,1.7,Completed
2024-02-27,Study Programming,3.7,3.3,Not Completed
2024-02-28,Study History,0.6,0.7,Completed
2024-02-28,Housework,2.6,3.1,Completed
